Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
79545.45857,5.682861322,7.009188143,4.09,23086.8005,1059033.558,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79248.64245,6.002899808,6.730821019,3.09,40173.07217,1505890.915,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
61287.06718,5.86588984,8.51272743,5.13,36882.1594,1058987.988,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
63345.24005,7.188236095,5.586728665,3.26,34310.24283,1260616.807,"USS Barnett
FPO AP 44820"
59982.19723,5.040554523,7.839387785,4.23,26354.10947,630943.4893,"USNS Raymond
FPO AE 09386"
80175.75416,4.988407758,6.104512439,4.04,26748.42842,1068138.074,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64698.46343,6.025335907,8.147759585,3.41,60828.24909,1502055.817,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
78394.33928,6.989779748,6.620477995,2.42,36516.35897,1573936.564,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59927.66081,5.36212557,6.393120981,2.3,29387.396,798869.5328,"USS Gilbert
FPO AA 20957"
81885.92718,4.42367179,8.167688003,6.1,40149.96575,1545154.813,"Unit 9446 Box 0958
DPO AE 97025"
80527.47208,8.093512681,5.0427468,4.1,47224.35984,1707045.722,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50593.6955,4.496512793,7.467627404,4.49,34343.99189,663732.3969,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
39033.80924,7.671755373,7.250029317,3.1,39220.36147,1042814.098,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
73163.66344,6.919534825,5.993187901,2.27,32326.12314,1291331.518,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69391.38018,5.344776177,8.406417715,4.37,35521.29403,1402818.21,"PSC 5330, Box 4420
APO AP 08302"
73091.86675,5.443156467,8.517512711,4.01,23929.52405,1306674.66,"2278 Shannon View
North Carriemouth, NM 84617"
79706.96306,5.067889591,8.219771123,3.12,39717.81358,1556786.6,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
61929.07702,4.788550242,5.097009554,4.3,24595.9015,528485.2467,"5498 Rachel Locks
New Gregoryshire, PW 54755"
63508.1943,5.94716514,7.187773835,5.12,35719.65305,1019425.937,"Unit 7424 Box 2786
DPO AE 71255"
62085.2764,5.739410844,7.091808104,5.49,44922.1067,1030591.429,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
86294.99909,6.62745694,8.011897853,4.07,47560.77534,2146925.34,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
60835.08998,5.551221592,6.517175038,2.1,45574.74166,929247.5995,"USNS Brown
FPO AP 85833"
64490.65027,4.21032287,5.478087731,4.31,40358.96011,718887.2315,"95198 Ortiz Key
Port Sara, TN 24541-2855"
60697.35154,6.170484091,7.150536572,6.34,28140.96709,743999.8192,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
59748.85549,5.339339881,7.748681606,4.23,27809.98654,895737.1334,"24282 Paul Valley
West Perry, MI 03169-5806"
56974.47654,8.287562194,7.312879971,4.33,40694.86951,1453974.506,"61938 Brady Falls
Lewisfort, DE 61227"
82173.62608,4.018524685,6.992698757,2.03,38853.91807,1125692.507,"3599 Ramirez Springs
Jacksonhaven, AZ 72798"
64626.88098,5.44335959,6.988753539,4,27784.74228,975429.4928,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
90499.05745,6.384358921,4.242191302,3.04,33970.16499,1240763.766,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
59323.7921,6.97782794,8.273697078,4.07,37520.65773,1577017.76,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
77811.52203,5.314460215,6.686686133,3.24,33754.7378,1246830.188,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
68652.60921,6.1243421,6.290820167,4.42,39355.62573,1170720.894,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
55041.35158,7.127128553,8.591923294,5.36,30122.47348,1071279.21,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
50218.70846,6.118808131,7.333554072,6.29,16810.78331,534305.1323,"039 Jordan Pike
Emilyville, ID 27442"
55909.3223,5.419562911,9.289854372,6,22355.23541,936368.9634,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
74372.81021,5.500128573,6.593045604,2.07,39395.15118,1199193.831,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
78667.9046,5.470652207,7.780836693,4.1,27637.65655,1233220.009,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
78699.5151,5.652783637,6.756453856,3.01,22836.60757,1081150.125,"7585 Lynn Loop
East Judy, WV 73336"
53128.18545,5.180664125,5.426902859,2.39,32947.71196,524712.7661,"Unit 1388 Box 9350
DPO AP 70848"
17796.63119,4.949557006,6.713905445,2.5,47162.18364,302355.836,"9932 Eric Circles
Lake Martha, WY 34611-6127"
58566.84936,6.579691453,5.034525352,2.17,39705.46496,1026817.4,"7896 Walker Spring
Loriport, MH 72956"
75537.79451,7.845215914,7.555660721,6.3,32778.19534,1762214.68,"549 Darren Plaza
Lake Kevin, UT 27155"
46147.05306,6.623332829,7.60683155,4.43,27161.12861,882057.1706,"90634 Michelle Valleys
North Victoria, WV 99370"
70421.47649,6.90708297,7.634318731,4.44,43183.92849,1744932.211,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
62614.42062,5.499309697,7.440505218,6.32,26888.57956,1153871.47,"43087 Jerome Field
West Deborah, SD 49213"
66394.87159,7.069512154,7.204639709,3.18,39741.07751,1499988.88,"71956 Jenkins Fall
Brooketown, PW 67485-0764"
73946.85107,4.863154306,7.537182365,6.35,35261.12702,1109588.38,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027"
69144.74571,7.296224497,5.928223473,3.22,19030.61549,980177.3051,"Unit 8108 Box 5159
DPO AP 04678"
77278.69703,6.238891015,6.919204136,2.13,21725.95429,1323952.027,"08639 Garcia Port
Anthonybury, CT 17971"
86754.19663,6.604439819,6.252454805,4.02,43017.44076,1662494.736,"91863 Curtis Point
New Richard, AK 99996-7554"
74399.84098,6.382452912,7.252665322,6.36,41084.66282,1417819.74,"03819 Lee Junction Suite 046
Mooneyborough, WA 19656"
49408.19834,5.825920476,5.831738973,3.32,26881.1306,549976.1456,"7796 Joseph Burg
Danielsside, RI 70370"
62279.79005,6.108449991,6.30611635,4.12,35263.65314,1054770.981,"173 Mendoza Land
West John, NJ 57690"
73078.20409,5.92390639,6.445456691,3.32,54915.96178,1415647.553,"3288 Lee Pass
South Julieton, PW 02759-4964"
72942.70506,4.786222295,7.31988553,6.41,24377.90905,948788.2757,"86908 Marshall Port Suite 252
Scotttown, NM 69143"
63819.62285,5.949839471,8.022469239,4.09,27825.57206,1159596.519,"951 Bryant Dale Suite 735
Lake Jacqueline, NH 95266"
73265.44989,8.314761979,7.42559746,3.24,21030.96618,1547133.396,"00301 Bradshaw Avenue Suite 833
Suzannefurt, IN 00654-8754"
68488.13117,6.116111748,7.18252748,5.08,18267.95471,1186688.506,"84473 Ochoa Pines Apt. 808
Jamesport, KY 70207-2955"
55193.85745,7.186120667,5.096917456,4.01,32537.81877,772111.9721,"13706 Morgan Turnpike Suite 378
Hohaven, NC 42699"
77434.68924,6.309271353,5.219754029,3.06,36252.34068,1172730.156,"4872 Delgado Ramp
North James, IA 36544"
66158.88159,4.476429066,6.91174261,2.28,37098.74217,1111085.017,"73202 Christopher Tunnel
New Roberttown, MN 08925-1536"
60502.90933,7.533380986,5.731824125,4.23,33579.63151,1022781.171,"8781 Olivia Port Apt. 225
Thompsonside, VT 22884"
60910.89379,5.635466738,7.325973781,4.2,43347.804,1274474.546,"PSC 9354, Box 0703
APO AA 58696-1278"
73931.97852,6.394107667,4.580839921,4.32,36543.06728,1213530.85,"271 Johnson Hills Apt. 001
Mcculloughfurt, FM 70847"
59539.94845,6.018590243,7.007676166,5.43,58600.82715,1411730.477,"122 Russo Neck
South Kevin, KY 20712-5282"
56547.50719,5.435415183,6.515149877,3.13,37585.27458,858685.5659,"85225 Christopher Inlet Apt. 627
West Calebberg, KS 76460"
65950.34702,5.476513158,6.717844306,3.28,40110.8476,1200961.821,"7125 Mullins Cliff
Maryborough, WY 66971"
74533.16208,6.67935313,5.919230725,4,49481.56581,1520234.229,"905 Lane Pines Suite 348
Brownborough, DE 57196-3319"
66422.91905,7.12207185,7.078583745,6.36,31019.32482,1360908.32,"61090 Griffith Ridges
Craigstad, AK 28807-8602"
74334.49485,5.419012564,6.261535284,4.12,41640.43566,1360920.53,"270 Jennifer Loop Suite 343
South Jesse, ND 60570-1483"
63538.34616,4.764499308,7.168662411,3.27,43282.183,1146532.455,"10973 Clark Trafficway
Meyersbury, LA 63237"
83953.10484,7.385134534,6.898846569,3.08,37283.35765,1789098.521,"91733 Baker Orchard
South Kyle, KS 37301"
57279.06358,5.118108905,6.561520216,3.17,44023.79068,852099.464,"024 William Course
East Charlotteview, DE 69073-3104"
56553.55025,5.691129213,7.021252354,3.15,29682.40986,746096.7289,"PSC 4455, Box 3268
APO AP 45454"
75795.57598,5.786780024,7.327325343,6.25,33197.77774,1534479.907,"562 Brown Junction Suite 282
Christopherborough, KS 20719"
70848.78866,5.28232502,6.766444664,3.27,40458.73587,1215608.531,"USCGC Thompson
FPO AA 13237-3887"
59787.4045,5.653120316,6.594592279,3.43,32402.10755,941594.3284,"65884 Johns Valley Apt. 621
Ethanbury, NY 07783"
64826.37189,4.010907337,8.290419813,4.38,60286.0431,1204598.037,"Unit 2139 Box 3667
DPO AP 49517"
65925.8538,7.605511954,7.070409541,3.28,34171.36007,1597655.258,"253 Golden Island
East Donald, CT 91882"
64419.25264,6.954422126,8.516160048,6.16,39318.17075,1492011.496,"4861 Steven Plains Suite 066
Port Reginaland, MN 06152-7205"
58544.4603,8.562610576,7.276308629,4.28,30865.58695,1421216.504,"5255 Rebecca Junctions Suite 240
Royshire, WI 85782-2398"
68791.79169,4.725552228,6.704201604,4.11,48423.32244,1132522.901,"2833 Townsend Cliffs
New Tommy, MP 86130-3426"
82061.5652,4.182828228,5.963031884,4.1,36271.4085,1102821.438,"708 Pena Ramp
Terryburgh, CA 31572-1304"
80659.52544,5.436306202,7.100753432,6.24,52947.03636,1856211.35,"8030 Ruiz Dale
Shermanchester, KY 56950-5684"
66668.09352,6.184965339,7.863127437,3.35,47075.21223,1687998.933,"Unit 3857 Box 9497
DPO AE 92239"
64721.5645,5.677637527,6.971331701,4.48,36115.81636,1063423.007,"042 Mitchell Mountains
Adamsview, OR 44424"
65199.98994,6.445742898,6.937127028,3.2,28366.03543,1177289.886,"07420 Victoria Trail Apt. 904
Port Kevinbury, OR 86759"
74579.98953,4.639654131,5.521489299,3.07,42806.14664,1173474.379,"38449 Shaw Glen
Pattonside, TX 98415"
76273.67033,7.879751801,4.500165348,3.39,46974.57879,1637259.999,"82387 Hensley Bypass
Danielmouth, ME 30791"
67561.94206,5.251400747,7.658576339,4.04,35517.54187,1238938.291,"02304 Brandon Stravenue Apt. 231
Cordovabury, ID 36688"
48904.98327,4.844972531,5.44895603,3.38,32960.75307,201898.0866,"2124 Garcia Viaduct
North Kellytown, DC 30864"
72145.96721,6.39862599,8.258634923,6.06,28882.90085,1439506.102,"646 Nicholas Mall Apt. 058
East Danielle, OR 53708"
70805.61068,4.443728924,5.809147306,3.3,29268.82674,585608.6326,"874 Laura Throughway Suite 350
Port Michaelberg, PW 94284-9448"
65383.33792,7.512526779,6.640032004,3.46,35114.40246,1294685.159,"7373 Hart Brooks Apt. 168
East Christianside, PR 72679-9159"
95450.29309,6.595060685,6.850361008,3.33,39388.51552,2014851.344,"035 Mark Bridge
West Craig, MT 78649"
73698.69636,6.372730932,6.578352074,4.33,51815.09642,1840236.006,"69600 Wilson Rue
Elizabethland, PW 17767-2884"
66263.9105,6.374930066,6.736974131,4.41,49829.9515,1441421.913,"001 Steve Plaza
Jessicastad, UT 25190"
75394.75958,6.933352468,7.834099801,4.48,22268.07531,1498640.551,"238 Anthony Drive
Acostahaven, AS 62753-6637"
65984.75064,6.512270085,6.31648002,2.38,21867.47694,954746.5764,"01818 Wilson Spurs
West Andreaton, SD 69568-7005"
66477.26279,6.982151725,6.038487979,2.37,32458.9867,1124635.932,"95779 Walton Square
Bakershire, PR 49599"
69284.25964,5.347447091,7.173425885,3.45,40282.72428,1169944.248,"124 Russell Mountains Apt. 591
North Sharonfurt, OH 67836-4969"
70404.4961,5.544083726,6.001261362,2.02,37127.9255,1114430.953,"73080 Veronica Turnpike Suite 991
New Debra, VA 61246"
74218.48902,8.069721867,6.506374302,4.37,46770.66097,1783534.839,"106 Williams Well Apt. 657
Samanthaview, PR 87811"
63441.71465,6.471673727,7.064811136,3.22,48061.75267,1302933.248,"Unit 3405 Box 4348
DPO AP 68816-2990"
57493.92457,6.893260157,6.734045416,4.41,47039.21532,1241483.612,"4007 Kimberly Crossing
Nathanielview, NC 72093-8287"
81543.77732,5.503923196,5.897052836,2.14,9816.300885,954114.544,"Unit 5889 Box 7282
DPO AE 41177-0399"
78633.97376,5.465393231,7.531143012,3.24,43728.80349,1555320.5,"075 Andrea Green Suite 201
Johnshire, KS 50389"
52202.85372,4.869306181,4.414380866,2.23,42165.81246,404976.3659,"6811 Spears Trail Suite 081
East Troy, MS 43910"
67980.38878,5.562938814,6.159705222,2.44,25909.0792,1073183.76,"69401 Danielle Motorway
New Dennis, IL 53971"
78568.44916,5.47573732,6.291600796,2.29,41016.64709,1422195.879,"2276 Riley Flats Suite 975
Johnmouth, NH 39983"
55472.65483,4.822147136,5.855972309,3.2,15353.95643,340605.2113,"91111 Crane Spur
Kathleenmouth, ME 43022-3191"
67579.23479,5.973219004,7.754357545,6.32,21762.94969,1170959.526,"744 Hill Ports
Mooreside, MH 20945-2825"
61456.1507,6.882954326,6.417572622,4.19,30821.41209,942838.1647,"019 Lisa Village Apt. 379
Maxwellmouth, DE 26176"
60815.39039,7.17012853,7.984335122,4.11,31233.64935,1401613.92,"50933 Barber Divide Suite 927
Jacksonborough, NE 46696-1788"
51217.18116,5.384841407,8.776160034,3.41,47089.47508,1175504.486,"USS Harrington
FPO AE 12326"
63027.67471,4.855968121,5.580905937,2.3,35991.72064,608794.2467,"246 Michele Lock Suite 093
South Michellemouth, VI 62800"
62484.8553,6.496651466,7.322709774,5.13,26882.65179,946943.0362,"356 Madeline Locks Apt. 115
Kaitlinland, MS 49150-0243"
73923.46627,7.005505785,7.135063347,6.04,58745.31203,1819900.637,"232 Allen Ridge
West Jasonview, CT 93021"
79737.60976,7.315957927,6.611096005,2.17,28307.31433,1463130.273,"5042 Ricky Road
New Candice, MN 40661-8809"
63890.47157,4.972306568,7.916386397,5.49,43416.49782,1252391.18,"60860 Griffin Streets Apt. 040
East Catherine, NH 18346"
67310.03695,7.193792989,7.760732555,5.28,43310.61243,1714445.175,"89002 Robert Square Suite 028
Port Jennyside, CA 38546-6307"
73145.73022,4.096517243,7.254217433,3.18,49463.37888,1291759.393,"8533 Sparks Lodge
New Kevin, GA 98179"
86924.35877,6.832939699,7.738295553,6.32,28719.41089,1809154.289,"922 Mark Lodge
Matthewton, ID 71131-3139"
74384.10563,7.411486571,5.164865476,2.3,17117.44367,1200539.361,"757 Sherri Shores Suite 744
Jesusfurt, OK 73052-4985"
67477.78818,6.623528293,7.91617166,5.1,29763.92535,1300265.21,"PSC 8479, Box 0952
APO AA 33741"
71202.95692,4.318869133,6.634954066,4.37,34207.39721,997448.7281,"5560 Michaela Spur Suite 730
West Charlottefurt, PA 00463"
85845.3178,6.743652961,9.468766369,3.46,46477.67868,2152959.409,"255 Sosa Pines Suite 751
Wilsonview, MT 31615"
72138.87048,7.163640935,8.485778263,5.45,35799.63827,1629983.847,"156 Conner Lane
East Brittany, MI 26733"
44806.00516,4.494570528,4.725325117,3.1,57390.89007,497579.4466,"478 Vasquez Fort Apt. 346
Aliciaside, NV 37124-6408"
67504.17846,5.329798509,5.894411949,4.36,37441.12054,890112.5493,"67610 Smith Knolls
Brendaberg, MA 55188-7972"
74706.10053,5.003327764,5.661064127,2.05,39680.60932,1064685.699,"504 Robertson Streets
Jamesshire, WA 56754"
68898.34591,6.787648529,7.871352644,6.39,39515.57156,1530124.016,"777 Ross Crossroad
Kaiserville, RI 24445"
58118.01816,8.137214471,5.650900286,4.36,35598.39044,1246246.828,"2418 Samantha Green Apt. 016
Port Keithmouth, VT 62207-0408"
77643.28309,6.070115922,5.381038359,4.45,35512.25505,1240754.932,"95957 Tara Hill Suite 428
Huntland, KS 57002-5552"
67769.82559,8.074693668,6.761631408,4.22,33254.60341,1760734.69,"26906 Simmons Underpass Suite 444
Port Tinashire, DC 13101"
74411.05989,5.534627544,7.210123361,6.44,43537.50295,1393746.76,"4930 James Flats
New Shannon, NJ 75829-8040"
73101.0788,4.104129923,8.920333221,4.35,29497.97129,1172385.898,"78212 Turner Ville Apt. 217
West Lauraberg, MP 47353-3682"
58708.41716,5.083861036,6.262825884,4.07,15969.92604,483986.109,"33410 Smith Summit
West Kimberlyberg, CT 49785-3758"
63876.05991,7.080219326,7.187432975,3.37,38052.87644,1388530.157,"49940 Ramirez Mission Suite 136
West Bryan, MD 95291-3904"
68343.15409,6.39244379,8.425112895,6.2,40653.87007,1721739.384,"4746 Morgan Forge
Diaztown, VT 79978"
73064.97996,5.994062799,7.204368895,6.19,30699.33971,1276448.792,"5808 Burton Viaduct
North Nicholasport, CO 32392-1208"
67367.26808,6.774710809,6.690894899,2.49,32547.27253,1161742.677,"8093 Lara Overpass Apt. 364
Lake Brookebury, NV 30264"
66547.18175,6.350672042,5.305000412,2.04,16741.96499,786407.9451,"249 Susan Canyon
North Jessica, ID 13412"
73313.54538,6.414723236,8.492901229,4.46,37808.99667,1604920.973,"08091 Bush Course
New Michael, RI 47524-7511"
47681.36173,6.890508224,7.788267986,5.13,50908.97891,1230149.137,"PSC 6933, Box 3805
APO AP 50576"
67910.94913,6.445851907,6.675937268,4.32,31379.78297,1051644.554,"6798 Smith Junctions
Wolfeton, WY 86565-5079"
69277.89125,6.142591681,7.811724471,5.15,43717.91309,1415073.614,"256 Sanchez Ports Apt. 057
Johnmouth, PA 69763"
67946.71468,5.403175673,5.671136343,3.21,35197.94257,1043483.915,"68672 Guzman Ridge
Clinefurt, WI 04078-6179"
90975.11327,4.740683035,8.320351986,6.45,44426.21365,1544379.748,"4447 Steven River Suite 076
West Karenmouth, DC 61561-8593"
61885.54644,5.405265969,6.91419577,3.22,48726.9513,1352135.967,"USCGC Hess
FPO AE 29193"
69401.84722,7.042354995,8.097044285,3.44,29293.07405,1505727.431,"0617 Neal Curve
South Daniel, AS 09326"
72969.12127,6.188575726,8.076943604,4.2,31755.72136,1416965.979,"412 Janet Radial Suite 115
Kariview, NY 37073-8343"
75582.45976,5.506473429,6.774986419,4.33,31946.30387,1046721.976,"9155 Kayla Station Suite 233
Natalieborough, SC 99093-8399"
56241.22677,5.623087016,6.818670754,2.18,32745.36812,939040.0036,"3062 Donald Inlet Suite 642
West Matthew, GU 49340"
79412.83547,6.087360169,7.481321112,3.26,17568.73376,1383031.332,"764 Timothy Turnpike
North Audreymouth, TX 02395"
79618.23685,4.566166101,6.669888411,3.49,29636.50711,1072503.238,"862 Ryan Flat
West Larryborough, WV 11517"
67019.07405,6.487943167,7.3313301,6.26,24997.10871,1134397.758,"378 Evans Crest
East Shelbystad, HI 23326"
56063.48087,5.10693512,5.385339778,4.14,39129.2967,734827.508,"09897 Katherine Forge
North Johnside, NC 01211"
57077.5803,5.775467041,6.952026674,4.27,33393.9166,991892.3175,"2367 Noah Center
North Dakotashire, PA 99619-0890"
75954.81825,4.289916281,7.418750603,5.04,34467.7587,1057252.583,"19678 Noble Cove Suite 264
South Elizabethfort, CO 13304-1647"
52575.81517,7.133719417,7.173698882,4.06,41828.57962,1237224.859,"8803 Jackson Ramp
South Thomasland, RI 09631-6361"
63312.80567,6.139115452,8.199615241,4.41,43230.35216,1442632.541,"87629 Shawn Crossing
North William, MN 71601-6188"
82526.9621,6.453073406,7.748248953,4.46,43947.68026,1877402.32,"2574 Shannon Alley
South Fred, OR 64217"
73204.94213,6.640915863,7.311912321,6.4,35090.50081,1394518.415,"676 Jose Locks Apt. 415
South Cynthia, SC 89264"
56357.19314,5.707903109,5.240300887,3.25,38061.9983,953939.3299,"4160 Martinez Bridge Apt. 713
West Ann, MI 89447-0160"
71316.62465,7.107767687,7.088992691,5.33,21651.69941,1219778.034,"26847 Weber Ports Apt. 767
North Robinton, FM 43014"
75046.8482,4.983084629,8.877240042,3,32468.03115,1287325.382,"PSC 8891, Box 6475
APO AP 28726-5123"
